Text	Label
The antibodies MK-3475 and CT-011 have shown promising results in treating malignancies. Which protein are they targeting?	[1 0 0 0]
What family do mDia proteins belong in?	[1 0 0 0]
"Which is the most common measure of differences between dinucleotide relative abundance ""genomic signatures"""	[1 0 0 0]
Name a method for enrichment of arginine-methylated peptides.	[1 0 0 0]
Rindopepimut is an analog of which growth factor?	[1 0 0 0]
From which tissue was the NCI-H520 cell-line derived?	[1 0 0 0]
What is the incidence of Edwards syndrom in the european population?	[1 0 0 0]
What is the substrate of the microbial enzyme inulinase?	[1 0 0 0]
What tyrosine kinase, involved in a Philadelphia- chromosome positive chronic myelogenous leukemia, is the target of Imatinib (Gleevec)?	[1 0 0 0]
When was empagliflozin FDA approved?	[1 0 0 0]
Which R/bioconductor package is used for integrative genomics visualizations?	[1 0 0 0]
How many genes are imprinted in the human genome?	[1 0 0 0]
In which cells are A-type lamins expressed?	[1 0 0 0]
Gene silencing can be achieved by RNA interference (RNAi) in eukaryotic organisms. What is the name of the analogous process in prokaryotic organisms?	[1 0 0 0]
"How is connected ""isolated Non-compaction cardiomyopathy"" with dilated cardiomyopathy?"	[1 0 0 0]
Which is the most common cause of sudden cardiac death in young athletes?	[1 0 0 0]
What is the rate of survival after commotio cordis?	[1 0 0 0]
Which gene is involved in Giant Axonal Neuropathy?	[1 0 0 0]
How many TAp73 isoforms have been identified in humans?	[1 0 0 0]
Which is the  subcellular localization of ERAP2?	[1 0 0 0]
At which kind of individuals is pharmacological treatment of subclinical hypothyroidism effective in reducing cardiovascular events?	[1 0 0 0]
Which deficiency is the cause of restless leg syndrome?	[1 0 0 0]
What histone modification is recognized by the bromodomain?	[1 0 0 0]
How many periods of regulatory innovation led to the evolution of vertebrates?	[1 0 0 0]
Which hormone abnormalities are common in Williams syndrome ?	[1 0 0 0]
Which is the protein encoded by the human gene GRIK?	[1 0 0 0]
Which residue of alpha-synuclein was found to be phosphorylated in Lewy bodies?	[1 0 0 0]
What molecule is targeted by brodalumab?	[1 0 0 0]
"How long, in kb (kilobases),  is a ""Long interspersed nuclear element""?"	[1 0 0 0]
Which is the gene mutated in type 1 neurofibromatosis?	[1 0 0 0]
What is the mode of inheritance of nemaline myopathy?	[1 0 0 0]
Which syndrome is NHE6 associated with?	[1 0 0 0]
Which virus is Cidofovir (Vistide) indicated for?	[1 0 0 0]
Which translocation is the hallmark of Ewing sarcoma?	[1 0 0 0]
What is the effect of CRD-BP on the stability of c-myc mRNA?	[1 0 0 0]
What is the molecular function of psoralen photobinding on DNA?	[1 0 0 0]
Against which protein is the antibody used for immonostaining of Lewy bodies raised?	[1 0 0 0]
Which is the enzymatic activity of the myotubularin family of proteins?	[1 0 0 0]
What is the percentage of responders to tetrabenazine treatment for dystonia in children?	[1 0 0 0]
Which disease can be treated with Delamanid?	[1 0 0 0]
What is situs inversus?	[1 0 0 0]
What is the indication of Daonil (Glibenclamide)?	[1 0 0 0]
Which is the most typical peptide sequence responsible for retrieval of endoplasmic reticulum (ER) lumenal proteins from the Golgi apparatus?	[1 0 0 0]
Which molecule is targeted by a monoclonal antibody Mepolizumab?	[1 0 0 0]
Which is the major symptom of the Doose syndrome?	[1 0 0 0]
Which eye condition is managed by the athens protocol?	[1 0 0 0]
Is Rheumatoid Arthritis more common in men or women?	[1 0 0 0]
Which methyl-CpG-binding protein when mutant becomes the hallmark for Rett syndrome?	[1 0 0 0]
Which is the molecular weight of the protein angiogenin?	[1 0 0 0]
What is the gene mutated in the Gaucher disease?	[1 0 0 0]
Which disease is included as an additional feature in the Goldberg-Shprintzen syndrome?	[1 0 0 0]
Which protein is causing Netherton syndrome?	[1 0 0 0]
Which disease of the central nervous system is characterized by the presence of Lewy bodies?	[1 0 0 0]
Which deiodinase is known to be present in liver?	[1 0 0 0]
Is the transcriptional regulator BACH1 an activator or a repressor?	[1 0 0 0]
What molecule is targeted by suvorexant?	[1 0 0 0]
For which type of diabetes can empagliflozin be used?	[1 0 0 0]
How early during pregnancy does non-invasive cffDNA testing allow sex determination of the fetus?	[1 0 0 0]
Which JAK (Janus kinase) inhibitor is approved for treatment of rheumatoid arthritis?	[1 0 0 0]
How is OCT3 associated with serotonin?	[1 0 0 0]
Which signaling pathway is activating the dishevelled proteins?	[1 0 0 0]
Which is the defective protein causing the lysosomal storage disease Fabry?	[1 0 0 0]
Which gene is most commonly associated with severe congenital and cyclic neutropenia?	[1 0 0 0]
What was the purpose of the FANTOM5 project?	[1 0 0 0]
What disease in Loxapine prominently used for?	[1 0 0 0]
Which antibodies cause Riedel thyroiditis?	[1 0 0 0]
What is generic name of drug Adempas?	[1 0 0 0]
Is single guide RNA part of the CRISPR/Cas9 tool or an inhibitor of its function?	[1 0 0 0]
What is the target protein of the drug Idelalisib?	[1 0 0 0]
Which antiepileptic drug is most strongly associated with spina bifida? 	[1 0 0 0]
Which bacteria caused plague?	[1 0 0 0]
The drug JTV519 is derivative of which group of chemical compounds?	[1 0 0 0]
Is the long non- coding RNA malat-1 up or downregulated in cancer?	[1 0 0 0]
Oxantel is used for periodontitis treatment. How does it work?	[1 0 0 0]
What is apelin?	[1 0 0 0]
What is the function of the protein encoded by the gene PABPC4?	[1 0 0 0]
What kind of enzyme is encoded by the proto-oncogene ABL1?	[1 0 0 0]
What is the mode of inheritance of Romano Ward long QT syndrome?	[1 0 0 0]
Which gene is associated with the Mitchell-Riley syndrome?	[1 0 0 0]
What is the main component of the Lewy bodies?	[1 0 0 0]
What is the link between HOT regions and RNA polymerase recruitment?	[1 0 0 0]
Which is the enzyme that degrades decapped mRNAs?	[1 0 0 0]
Which is the target protein of the drug nivolumab?	[1 0 0 0]
What is the functional role of the protein Drp1?	[1 0 0 0]
What does isradipine do to L-type channels?	[1 0 0 0]
Which type of myeloma is ixazomib being evaluated for?	[1 0 0 0]
To which family does the Zika virus belong?	[1 0 0 0]
Which is the molecular mechanism underlying K-ras alterations in carcinomas?	[1 0 0 0]
What is the main symptom of Marfan syndrome patients?	[1 0 0 0]
How is myotonic dystrophy inherited?	[1 0 0 0]
What is the typical outer diameter of microtubules (tubulin heterodimers)?	[1 0 0 0]
Which protein phosphatase has been found to interact with the heat shock protein, HSP20?	[1 0 0 0]
Neurostimulation of which nucleus is used for treatment of dystonia?	[1 0 0 0]
What is the mode of inheritance of Marchesani syndrome?	[1 0 0 0]
What is the cause of episodic ataxia type 6?	[1 0 0 0]
What is the main role of Ctf4 in dna replication?	[1 0 0 0]
Which hormone deficiency is implicated in the Costello syndrome ?	[1 0 0 0]
Which is the most common CFTR mutation in Caucasians?	[1 0 0 0]
When are itaconic acid levels elevated?	[1 0 0 0]
Simpson grading is used to describe resection of which brain tumor?	[1 0 0 0]
Where in the cell do we find the protein Cep135?	[1 0 0 0]
Which enzyme is inhibited by Varespladib?	[1 0 0 0]
Which protein does empagliflozin inhibit?	[1 0 0 0]
What is the clinical indication of cardiac T1 mapping magnetic resonance?	[1 0 0 0]
Which autophagy pathway is trigered by the KFERQ motif of cytosolic proteins?	[1 0 0 0]
Which is the phosphorylated residue in the promoter paused form of RNA polymerase II?	[1 0 0 0]
Describe a diet that reduces the chance of kidney stones.	[1 0 0 0]
Which is the physiological target for LeuRS translational quality control?	[1 0 0 0]
Which is the target of the drug Denosumab?	[1 0 0 0]
Which enzyme is inhibited by a drug fostamatinib?	[1 0 0 0]
Which gene test can be used for the X-linked myotubular myopathy?	[1 0 0 0]
In which cells are gasdermins expressed?	[1 0 0 0]
Where in a protein can a signal sequence be found?	[1 0 0 0]
Which antibody is implicated in the Bickerstaff's brainstem encephalitis?	[1 0 0 0]
In which condition was protein S100A7 originally identified?	[1 0 0 0]
What is the typical alteration of the thyroid profile metabolism early after coronary artery bypass graft surgery?	[1 0 0 0]
What does the SAGA complex acronym stands for?	[1 0 0 0]
Which polyQ tract protein is linked to Spinocerebellar Ataxia type 2?	[1 0 0 0]
Which are the smallest known subviral pathogens of plants?	[1 0 0 0]
What causes Katayama Fever?	[1 0 0 0]
Which is the database of molecular recognition features in membrane proteins?	[1 0 0 0]
Which database is available for the identification of chorion proteins in Lepidopteran proteomes?	[1 0 0 0]
Which kinase is inhibited by Tripolin A?	[1 0 0 0]
Which is the cellular target of gefitinib?	[1 0 0 0]
What is the risk of developing acute myelogenous leukemia in Fanconi anemia?	[1 0 0 0]
How many different mutations have been associated with Muenke syndrome?	[1 0 0 0]
How can the fetal Rhesus be determined with non-invasive testing?	[1 0 0 0]
DX-88 is investigational name of which drug?	[1 0 0 0]
Do the Sleeping Beauty or the piggyBac transposons have higher transposition efficiency?	[1 0 0 0]
Which is the most common disease attributed to malfunction or absence of primary cilia?	[1 0 0 0]
Treprostinil is an analogue for which prostaglandin?	[1 0 0 0]
Which enzyme is deficient in Gaucher's disease?	[1 0 0 0]
Which is the most common type of pediatric cerebellar tumor?	[1 0 0 0]
Which is the E3 ubiquitin ligase of Hsp90?	[1 0 0 0]
In which kingdom do microsporidia belong, according to their current classification scheme?	[1 0 0 0]
What is the effect of a defective CLN3 gene?	[1 0 0 0]
Which is the genetic lesion associated with Huntington’s disease?	[1 0 0 0]
What is the inheritance pattern of Li–Fraumeni syndrome?	[1 0 0 0]
Which pituitary adenoma is common cause of infertility is women?	[1 0 0 0]
What is the lipid droplet used for in the cell?	[1 0 0 0]
What is the function of circular RNA?	[1 0 0 0]
What is the presumed key event in Fanconi anemia pathogenesis?	[1 0 0 0]
Which trancription factor activates the betalain pathway?	[1 0 0 0]
Is the H3K4me3 histone mark related to transcriptional initiation or elongation?	[1 0 0 0]
What does polyadenylate-binding protein 4 (PABP4) bind to?	[1 0 0 0]
What is the average diameter of intermediate filaments?	[1 0 0 0]
What is the function of cryptochrome-1 in mouse?	[1 0 0 0]
Which intermediate filament (IF) protein can be used as a non-specific marker of the neuronal precursor cells of the subventricular zone?	[1 0 0 0]
Which enzyme is involved in the maintenance of DNA (cytosine-5-)-methylation?	[1 0 0 0]
In what proportion of children with heart failure has Enalapril been shown to be safe and effective?	[1 0 0 0]
Which cell type has the protein Chromogranin A as marker?	[1 0 0 0]
Which gene harbors the mutation T790M?	[1 0 0 0]
Which is the protein implicated in Spinocerebellar ataxia type 3?	[1 0 0 0]
Which is the prevalence of cystic fibrosis in the human population?	[1 0 0 0]
What does mTOR stands for?	[1 0 0 0]
Which calcium channels does ethosuximide target?	[1 0 0 0]
What is the sedimentation coefficient of the mammalian mitoribosome?	[1 0 0 0]
Which receptor is targeted by telcagepant?	[1 0 0 0]
Which translocation is harbored in the Askin tumor cells?	[1 0 0 0]
Which R/bioconductor package utilizes the Hilbert curve in order to visualize genomic data?	[1 0 0 0]
Which pathway is activated by ficolin-3?	[1 0 0 0]
What is targeted by monoclonal antibody Pembrolizumab?	[1 0 0 0]
"What is the mode of inheritance of Facioscapulohumeral muscular
dystrophy (FSHD)?"	[1 0 0 0]
What is commotio cordis?	[1 0 0 0]
What is the cause of Phthiriasis Palpebrarum?	[1 0 0 0]
Which gene is mutated in a subtype of arrhythmogenic right ventricular cardiomyopathy known as Naxos disease?	[1 0 0 0]
Which disorder is rated by Palmini classification?	[1 0 0 0]
Which peripheral neuropathy has been associated with NDRG1 mutations?	[1 0 0 0]
Which is the receptor for substrates of Chaperone Mediated Autophagy?	[1 0 0 0]
What is the mode of inheritance of short QT syndrome?	[1 0 0 0]
What was the purpose of the FANTOM3 project?	[1 0 0 0]
Which intraflagellar transport (IFT) motor protein has been linked to human skeletal ciliopathies?	[1 0 0 0]
What is the link between Nonidet-40 (NP-40) and biotinylation?	[1 0 0 0]
Which is the transcript responsible for X-chromosome inactivation?	[1 0 0 0]
Which domain allowing self-association do exist in TDP-43 and FUS proteins?	[1 0 0 0]
What type of enzyme is peroxiredoxin 2 (PRDX2)?	[1 0 0 0]
Which disease is associated with the ectopic expression of the protein encoded by the gene DUX4?	[1 0 0 0]
Which G protein is essential in the formation and function of lamellipodia?	[1 0 0 0]
What is the main application of SWATH-MS in proteomics?	[1 0 0 0]
What can Nothobranchius furzeri be used as a model system for?	[1 0 0 0]
Which is the mass-tag that reveal the ubiquitination of a lysine residue?	[1 0 0 0]
Which gene is involved in CADASIL?	[1 0 0 0]
What are the structures formed when keratin molecules come together?	[1 0 0 0]
Which is the prognostic impact of hypothyroidism in patients with acute myocardial infarction?	[1 0 0 0]
Which gene is associated with Muenke syndrome?	[1 0 0 0]
RTS S AS01 vaccine was developed to prevent which disease?	[1 0 0 0]
Which is the main regulatory molecule of SERCA2A function in the cardiac muscle?	[1 0 0 0]
Which gene is responsible for the development of the Mowat-Wilson syndrome?	[1 0 0 0]
Which factor interacts with Treslin/TICRR throughout the cell cycle of human cells?	[1 0 0 0]
Which medication should be administered when managing patients with suspected acute opioid overdose?	[1 0 0 0]
Which type of GTPases is required for amino acid-dependent activation of mTORC1?	[1 0 0 0]
What is the synonym of the lubag disease?	[1 0 0 0]
Which  is the execution time (complexity) of the Smith-Waterman algorithm for the alignment of two sequences	[1 0 0 0]
The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?	[1 0 0 0]
Which SLC family is FLVCR1 a member of?	[1 0 0 0]
Where are the orexigenic peptides synthesized?	[1 0 0 0]
Which inherited disorder is known to be caused by mutations in the NEMO gene?	[1 0 0 0]
How are ultraconserved elements called when they form clusters?	[1 0 0 0]
Which disease has been associated to a disruptive ALX1 protein?	[1 0 0 0]
How many selenoproteins are encoded in the human genome?	[1 0 0 0]
In which process Src, Cortactin and MT1-MMP are playing an essential role?	[1 0 0 0]
In which yeast chromosome does the rDNA cluster reside?	[1 0 0 0]
During which stage of the cell cycle is cohesin deposited on the yeast genome?	[1 0 0 0]
Which is the neurodevelopmental disorder associated to mutations in the X- linked gene mecp2?	[1 0 0 0]
What is the link between Dax1 and Esrrb?	[1 0 0 0]
What is dovitinib?	[1 0 0 0]
Which heat shock protein is found to be upregulated during Hsp90 inhibition?	[1 0 0 0]
Which gene is responsible for the development of Sotos syndrome?	[1 0 0 0]
What is the name for anorexia in gymnasts?	[1 0 0 0]
Approximately how many recombination hotspots have been found in the yeast genome?	[1 0 0 0]
What is the name of the stem loop present in the 3' end of genes encoding for selenoproteins?	[1 0 0 0]
Which SWI/SNF protein complex subunit has been demonstrated to interact with the FANCA gene product?	[1 0 0 0]
Which clotting factor is inhibited by betrixaban?	[1 0 0 0]
What is the outcome of TAF10 interacting with the GATA1 transcription factor?	[1 0 0 0]
How is bladder wall thickness measured?	[1 0 0 0]
LY450139 is investigational name of which drug?	[1 0 0 0]
Which gene has been found to be mutant in Lesch-Nyhan Disease patients?	[1 0 0 0]
Which is the methyl donor of histone methyltransferases?	[1 0 0 0]
What is the gene frequently mutated in Multiple endocrine neoplasia 2 (MEN2) and Hisrchsprung disease?	[1 0 0 0]
From which sequence does the Alu repeat originate from?	[1 0 0 0]
Abnormality in which vertebral region is important in the Bertolotti's syndrome?	[1 0 0 0]
What does iBAQ stand for in proteomic analysis?	[1 0 0 0]
Which is the main target of the anti-arrhythmic activity of flecainide?	[1 0 0 0]
Which is the most prevalent form of arrhythmia worldwide?	[1 0 0 0]
Which glands are subject to attack by lymphocytes in Sjogren's syndrome?	[1 0 0 0]
Mutations in which gene determine response to both erlotinib and gefitinib?	[1 0 0 0]
What is the content of the METLIN database?	[1 0 0 0]
Which is the RNA sequence of the canonical polyadenylation signal?	[1 0 0 0]
What is the role of the RUNX1-MYEF2 complex?	[1 0 0 0]
What is the relationship between thyroid hormone and inflammatory markers in heart failure patients?	[1 0 0 0]
What is the color of the protein Ranasmurfin?	[1 0 0 0]
Which histone modification is primarily linked to elongating transcription?	[1 0 0 0]
Which interleukin is blocked by Siltuximab?	[1 0 0 0]
ROSIER scale is used for which disorder?	[1 0 0 0]
Which is the subcellular localization of the protein angiogenin?	[1 0 0 0]
Which bone protein is used in archaelogy for dating and species identification?	[1 0 0 0]
Which gene has been implicated in Majeed Syndrome?	[1 0 0 0]
What is Trypan blue used for?	[1 0 0 0]
Selexipag is used for which disease?	[1 0 0 0]
What is the RESID database?	[1 0 0 0]
Pridopidine has been tested for treatment of which disorder?	[1 0 0 0]
Which is the target of bortezomib used in cancer therapy?	[1 0 0 0]
Which is the chromosomal location of the gene MAOA?	[1 0 0 0]
Idarucizumab is an antidote of which drug?	[1 0 0 0]
What is the Pfam database?	[1 0 0 0]
What is a popular mesaure of gene expression in RNA-seq experiments?	[1 0 0 0]
Inhibition of which enzyme is mechanism of action of alisertib?	[1 0 0 0]
Which thyroid hormone transporter is implicated in thyroid hormone resistance syndrome?	[1 0 0 0]
Which protein is affected by dusp8 activation?	[1 0 0 0]
What is the incidence of cystic fibrosis in the caucasian population?	[1 0 0 0]
What is the effect of thapsigargin treatment?	[1 0 0 0]
What is the Her2 status in Li-Fraumeni syndrome?	[1 0 0 0]
Which enzyme is inhibited by Orteronel?	[1 0 0 0]
What is the disorder in which mutations in U4atac snRNA are detected?	[1 0 0 0]
Which is the binding site motif of Sp1?	[1 0 0 0]
What is the physiological role of LKB1 involved in Peutz-Jeghers syndrome?	[1 0 0 0]
What is the prognostic role of alterred thyroid profile after cardiosurgery?	[1 0 0 0]
"Which gene fusion is the result of the ""philadelphia translocation"" or the ""philadelphia chromosome"" mutation?"	[1 0 0 0]
Which syndrome is associated with OATP1B1 and OATP1B3 deficiency?	[1 0 0 0]
Which type of lung cancer is afatinib used for?	[1 0 0 0]
Which disease is treated with Eliglustat?	[1 0 0 0]
Is APOBEC3B protein predominantly cytoplasmic or nuclear?	[1 0 0 0]
Which tool is used for promoterome mining using CAGE data?	[1 0 0 0]
What is the life expectancy of professional athletes in respect to the general population?	[1 0 0 0]
Aleglitazar is agonist of which receptor?	[1 0 0 0]
Which protein interacts with the Ragulator-RAG GTPases to control mTOR activity?	[1 0 0 0]
Galassi classification is used for which disorder?	[1 0 0 0]
To the ligand of which receptors does Denosumab (Prolia) bind?	[1 0 0 0]
Which type of genes are modulated by SATB1?	[1 0 0 0]
Which protein pathway is regulating SGK1-mediated phosphorylation of FOXO3a to control cell proliferation?	[1 0 0 0]
What is the function of caspases?	[1 0 0 0]
Which are the coactivators of the Yes-associated protein (yap)?	[1 0 0 0]
How many genes outside of the MHC locus have been genetically associated to Rheumatoid Arthritis through GWAS?	[1 0 0 0]
In which phase of cell cycle does  stress-induced transcription-associated mutagenesis (TAM) occur?	[1 0 0 0]
"Which tumor suppressor is referred to as ""the guardian of the genome""?"	[1 0 0 0]
Which drug should be used as an antidote in benzodiazepine overdose?	[1 0 0 0]
What is the definitive treatment for low pressure headache?	[1 0 0 0]
What is the incidence of sudden cardiac death among young athletes?	[1 0 0 0]
How much should be the duration of the QT interval in patients with short QT syndrome?	[1 0 0 0]
Which species of bacteria did the mitochondria originate from?	[1 0 0 0]
Which disease is linked to mutations within BRAG1?	[1 0 0 0]
Which is the main calcium pump of the sarcoplasmic reticulum?	[1 0 0 0]
What is the inheritance pattern of Hunter disease or mucopolysaccharidosis II?	[1 0 0 0]
What is the effect of the absence of Saccharomyces cerevisiae Rrm3p?	[1 0 0 0]
What is the ubiquitin proteome?	[1 0 0 0]
What is the effect induced by sympathetic nervous system on pupil size?	[1 0 0 0]
What is the inheritance pattern of Apert syndrome?	[1 0 0 0]
Which is the most widely used model for the study of multiple sclerosis (MS)?	[1 0 0 0]
What is the usual HER-2 status in breast cancer associated with Li-Fraumeni syndrome?	[1 0 0 0]
Which E3 ubiquitin ligase mediates the ubiquitination and degradation of the interferon receptor type 1 (IFNAR1)?	[1 0 0 0]
Which domain of TIA-1 is necessary for stress granule assembly?	[1 0 0 0]
What is the characteristic domain of histone methyltransferases?	[1 0 0 0]
Which is the major phytoalexin in alfalfa (Medicago sativa L.)?	[1 0 0 0]
Which syndrome is associated with mutations in the LYST gene?	[1 0 0 0]
Which protein is the main inhibitor of protein phosphatase 1 (PP1)?	[1 0 0 0]
Which protein is required for Argonaute 2 recruitment to stress granules and P-bodies?	[1 0 0 0]
Which pharmacogenetic test is available for abacavir?	[1 0 0 0]
What is a benefit of being g6PD-deficient?	[1 0 0 0]
Which drug is benserazide usually co-administered with?	[1 0 0 0]
What is the inheritance pattern of Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT) caused by RYR2 mutations?	[1 0 0 0]
Do A-type lamins bind euchromatin or heterochromatin?	[1 0 0 0]
Which is the most abundant membrane protein on Earth?	[1 0 0 0]
What is the most probable defect underlying triple negative breast cancer?	[1 0 0 0]
Which enzyme is deficient in Krabbe disease?	[1 0 0 0]
Is there any genetic determinant of hair pigmentation that could be useful in forensic analyses?	[1 0 0 0]
What disease is Velcade (bortezomib) mainly used for?	[1 0 0 0]
What is the prevalence of short QT syndrome?	[1 0 0 0]
Which is the main calcium binding protein of the sarcoplasmic reticulum?	[1 0 0 0]
What is the mode of inheritance in Fanconi anemia?	[1 0 0 0]
"What memory problems are reported in the "" Gulf war syndrome"""	[1 0 0 0]
Which molecule is targeted by Daratumumab?	[1 0 0 0]
Which mutation is associated with PLMS (periodic limb movements in sleep)?	[1 0 0 0]
Which DNA repair system is involved in HNPCC?	[1 0 0 0]
Mention the only available genomics and developmental transcriptomics resource for the urochordate Oikopleura dioica	[1 0 0 0]
Which hormone receptor function is altered in patients with Donohue syndrome?	[1 0 0 0]
What is the typical rash associated with gluten ?	[1 0 0 0]
Which is the vector of Louping ill virus?	[1 0 0 0]
Which value of nuchal translucency thickness is set as the threshold for high-risk for Down Syndrome?	[1 0 0 0]
What is the function of the spliceosome complex?	[1 0 0 0]
What is the effect of enamel matrix derivative on pulp regeneration?	[1 0 0 0]
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?	[1 0 0 0]
To what extent does HPV vaccination reduce the risk for cervical cancer?	[1 0 0 0]
Which is the clinical meaning of the presence of delayed enhancement in patients with hypertrophic cardiomyopathy?	[1 0 0 0]
What disease is mirtazapine predominantly used for?	[1 0 0 0]
Is cancer related to global DNA hypo or hypermethylation?	[1 0 0 0]
Alpha-spectrin and beta-spectrin subunits form parallel or antiparallel heterodimers?	[1 0 0 0]
Which is the protein (antigen) targeted by anti-Vel antibodies in the Vel blood group?	[1 0 0 0]
